source_type,source_id,key,title,in_bundle,in_canonical,action,note
pubmed_abstract,PMID:16766489,16766489,The effect of 2% niacinamide on facial sebum production.,True,True,KEEP_IDENTITY,"Decision 1 확정: 최종 QA bundle의 정제된 content를 채택. 동일 PMID이므로 새 EvidenceDocument 생성 금지, 기존 document identity(같은 id/PMID) 유지. title은 QA bundle 값('...production.')으로 갱신 예정(실제 반영은 DB write 단계)"
pubmed_abstract,PMID:17348991,17348991,Reduction in the appearance of facial hyperpigmentation by topical N-acetyl glucosamine.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:17515510,17515510,Improvement of naturally aged skin with vitamin A (retinol).,True,True,REUSE,canonical document와 title/doi/url 동일
pubmed_abstract,PMID:18452433,18452433,Evaluation of the effects of a preparation containing asiaticoside on periocular wrinkles of human volunteers.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:18503551,18503551,"Clinical, biometric and structural evaluation of the long-term effects of a topical treatment with ascorbic acid and madecassoside in photoaged human skin.",True,True,REUSE,canonical document와 title/doi/url 동일
pubmed_abstract,PMID:19134126,19134126,"Comparison of clinical efficacies of sodium ascorbyl phosphate, retinol and their combination in acne treatment.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:19146601,19146601,Clinical tolerance and efficacy of capryloyl salicylic acid peel compared to a glycolic acid peel in subjects with fine lines/wrinkles and hyperpigmented skin.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:19239556,19239556,Effect of rosmarinic acid on atopic dermatitis.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:19753737,19753737,Dexpanthenol enhances skin barrier repair and reduces inflammation after sodium lauryl sulphate-induced irritation.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:19845667,19845667,"Reduction in the appearance of facial hyperpigmentation after use of moisturizers with a combination of topical niacinamide and N-acetyl glucosamine: results of a randomized, double-blind, vehicle-controlled trial.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:20642768,20642768,Whitening effect of alpha-bisabolol in Asian women subjects.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:21619548,21619548,Recent progresses in application of fullerenes in cosmetics.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:23075568,23075568,Caffeine's mechanisms of action and its cosmetic use.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:23545907,23545907,"Comparison of clindamycin 1% and benzoyl peroxide 5% gel to a novel composition containing salicylic acid, capryloyl salicylic acid, HEPES, glycolic acid, citric acid, and dioic acid in the treatment of acne vulgaris.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:24168559,24168559,Treatment of refractory melasma with combination of topical 5% magnesium ascorbyl phosphate and fluorescent pulsed light in Asian patients.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:24509969,24509969,"The prophylactic use of a topical scar gel containing extract of Allium cepae, allantoin, and heparin improves symptoms and appearance of cesarean-section scars compared with untreated scars.",True,True,REUSE,canonical document와 title/doi/url 동일
pubmed_abstract,PMID:25876142,25876142,"Treatment of mild to moderate acne with a fixed combination of hydroxypinacolone retinoate, retinol glycospheres and papain glycospheres.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:26206496,26206496,Safety and risk assessment of ceramide 3 in cosmetic products.,True,True,REUSE,canonical document와 title/doi/url 동일
pubmed_abstract,PMID:26346940,26346940,Rutin increases critical wavelength of systems containing a single UV filter and with good skin compatibility.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:26831423,26831423,Comparing the effects of Bentonite & Calendula on the improvement of infantile diaper dermatitis: A randomized controlled trial.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:26859648,26859648,"Comparative Evaluation of Efficacy and Tolerability of Glycolic Acid, Salicylic Mandelic Acid, and Phytic Acid Combination Peels in Melasma.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:27325103,27325103,Effects of topical application of B-Resorcinol and Glycyrrhetinic acid monotherapy and in combination with fractional CO2 laser treatment for benign hand hyperpigmentation treatment.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:27391637,27391637,"Efficacy and Tolerability of a Skin Brightening/Anti-Aging Cosmeceutical Containing Retinol 0.5%, Niacinamide, Hexylresorcinol, and Resveratrol.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:27756097,27756097,Assessment of Combined Ascorbyl Palmitate (AP) and Sodium Ascorbyl Phosphate (SAP) on Facial Skin Sebum Control in Female Healthy Volunteers.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:28511614,28511614,A new topical panthenol-containing emollient for maintenance treatment of childhood atopic dermatitis: results from a multicenter prospective study.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:29181960,29181960,"A starch, glycyrretinic, zinc oxide and bisabolol based cream in the treatment of chronic mild-to-moderate atopic dermatitis in children: a three-center, assessor blinded trial.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:29318715,29318715,Comparative evaluation of skin moisture after topical application of 10% and 30% lactobionic acid.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:29328637,29328637,"Alp Rose stem cells, olive oil squalene and a natural alkyl polyglucoside emulsifier: Are they appropriate ingredients of skin moisturizers - in vivo efficacy on normal and sodium lauryl sulfate - irritated skin?",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:29411520,29411520,Randomized investigator-blinded comparative study of moisturizer containing 4-t-butylcyclohexanol and licochalcone A versus 0.02% triamcinolone acetonide cream in facial dermatitis.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:29737899,29737899,Resveratrol as an active ingredient for cosmetic and dermatological applications: a review.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:30378232,30378232,Topical urea in skincare: A review.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:30444533,30444533,A review of inorganic UV filters zinc oxide and titanium dioxide.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:30945430,30945430,"Efficacy and safety of moisturizer containing 5% panthenol, madecassoside, and copper-zinc-manganese versus 0.02% triamcinolone acetonide cream in decreasing adverse reaction and downtime after ablative fractional carbon dioxide laser resurfacing: A split-face, double-blinded, randomized, controlled trial.",True,True,REUSE,canonical document와 title/doi/url 동일
pubmed_abstract,PMID:30987568,30987568,Testing an Ectoin Containing Emollient for Atopic Dermatitis.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:31166601,31166601,18β-Glycyrrhetinic acid: its core biological properties and dermatological applications.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:31328306,31328306,Apple cider vinegar soaks [0.5%] as a treatment for atopic dermatitis do not improve skin barrier integrity.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:31553119,31553119,Comparative study of efficacy and safety of 45% mandelic acid versus 30% salicylic acid peels in mild-to-moderate acne vulgaris.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:31587493,31587493,"Acne treatment efficacy of intense pulsed light photodynamic therapy with topical licochalcone A, l-carnitine, and decanediol: A spilt-face, double-blind, randomized controlled trial.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:31660683,31660683,Efficacy of a skin care cream with TRPV1 inhibitor 4-t-butylcyclohexanol in the topical therapy of perioral dermatitis.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:32356369,32356369,"Topical azelaic acid, salicylic acid, nicotinamide, sulphur, zinc and fruit acid (alpha-hydroxy acid) for acne.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:32383548,32383548,Comparative physicochemical stability and clinical anti-wrinkle efficacy of transdermal emulgel preparations of 5% sodium ascorbyl phosphate and or ascorbic acid on human volunteers.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:32769524,32769524,Clinical Efficacy of Topical Tranexamic Acid With Microneedling in Melasma.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:33150170,33150170,"A Double-Blinded, Randomized, Vehicle-Controlled Study of the Efficacy of Moisturizer Containing Licochalcone A, Decanediol, L-Carnitine, and Salicylic Acid for Prevention of Acne Relapse in Asian Population.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:33188584,33188584,D-chiro-inositol as a treatment in plaque psoriasis: A randomized placebo-controlled clinical trial.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:33346506,33346506,Clinical Evaluation of a Nature-Based Bakuchiol Anti-Aging Moisturizer for Sensitive Skin.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:33458927,33458927,"Effect of glycolic acid, phytic acid, soothing complex containing Emulsion on Hyperpigmentation and skin luminosity: A clinical evaluation.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:33811776,33811776,"A randomized controlled trial to compare the effectiveness and safety of adsorbent lotion containing tapioca starch, spent grain wax, Butyrospermum parkii extract, argania spinosa kernel oil, aloe barbadensis, rosehip oil, and allantoin with a low-potency topical corticosteroid in the treatment of intertrigo.",True,True,REUSE,canonical document와 title/doi/url 동일
pubmed_abstract,PMID:33934471,33934471,Capryloyl glycine and soy isoflavonoids in hypertrichosis: An experimental and placebo-controlled clinical study.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:34077434,34077434,Apple cider vinegar soaks do not alter the skin bacterial microbiome in atopic dermatitis.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:34348343,34348343,The Efficacy and Safety of Chitosan on Facial Skin Sebum.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:34407729,34407729,"Evaluation of the of the efficacy of Fractional Erbium-Doped Yttrium Aluminum Garnet Laser-Assisted Drug Delivery of Kojic Acid in the Treatment of Melasma; A split face, comparative clinical study.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:34962047,34962047,"Evaluating the tolerance and efficacy of laser-assisted delivery of tranexamic acid, niacinamide, and kojic acid for melasma: A single center, prospective, split-face trial.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:35182003,35182003,Efficacy and safety of 5% glycolic acid-based Gel essence in the treatment of mild to moderate acne.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:35279940,35279940,Saccharide isomerate ameliorates cosmetic scalp conditions in a Chinese study population.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:35696226,35696226,The bioactivities of resveratrol and its naturally occurring derivatives on skin.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:36176207,36176207,Applications of bakuchiol in dermatology: Systematic review of the literature.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:36200921,36200921,Benefits of topical hyaluronic acid for skin quality and signs of skin aging: From literature review to clinical evidence.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:36214607,36214607,Clinical studies in Chinese subjects investigating the tolerance and soothing efficacy of a cream and balm containing 4-t-butylcyclohexanol on the sensitivity of facial skin.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:36999457,36999457,A review of the use of beeswax in skincare.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:37026889,37026889,Optimizing Melasma Management With Topical Tranexamic Acid: An Expert Consensus.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:37335807,37335807,"Evaluation of the effects of 10% and 30% gluconolactone chemical peel on sebum, pH, and TEWL.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:37418701,37418701,Effectiveness and safety of a cream product containing zinc oxide for alleviating mosquito bite symptoms.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:37584240,37584240,The efficacy and safety of microneedling with topical tranexamic acid for melasma treatment: A systematic review and meta-analysis.,True,True,REUSE,canonical document와 title/doi/url 동일
pubmed_abstract,PMID:37608511,37608511,"A clinical evaluation of the efficacy and tolerability of a novel topical antioxidant formulation featuring vitamin C, astaxanthin, and fermented turmeric.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:38206153,38206153,Evaluation of a Moisturizing Cream with 20% Urea for Keratosis Pilaris.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:38299457,38299457,"Efficacy of ceramides and niacinamide-containing moisturizer versus hydrophilic cream in combination with topical anti-acne treatment in mild to moderate acne vulgaris: A split face, double-blinded, randomized controlled trial.",True,True,REUSE,canonical document와 title/doi/url 동일
pubmed_abstract,PMID:38564402,38564402,Human Clinical Trials Using Topical Bakuchiol Formulations for the Treatment of Skin Disorders: A Systematic Review.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:38628085,38628085,Mitigation of retinol-induced skin irritation by physiologic lipids: Evidence from patch testing.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:39162834,39162834,Efficacy and feasibility analysis of compound fluocinolone acetonide cream combined with guaiazulene in the treatment of neurodermatitis.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:39555866,39555866,"The Efficacy of Topical Cosmetic Containing Alpha-Arbutin 5% and Kojic Acid 2% Compared With Triple Combination Cream for the Treatment of Melasma: A Split-Face, Evaluator-Blinded Randomized Pilot Study.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:39968706,39968706,30% Supramolecular Salicylic Acid Improved Symptoms and Skin Barrier in Papulopustular Rosacea.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:40111222,40111222,Comparison of Efficacy and Willingness to a 5% Gluconolactone-Based Topical Serum and Intense Pulsed Light in Mild Erythema of Rosacea: A Paired Control Study.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:40586182,40586182,"Novel Cyclized Hexapeptide-9 Outperforms Retinol Against Skin Aging: A Randomized, Double-Blinded, Active- and Vehicle-Controlled Clinical Trial.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:40613435,40613435,Evaluation of the Efficacy and Safety of a Panthenol-Enriched Mask for Skin Barrier Recovery After Facial Laser Treatment: Results of a Double-Blind Randomized Controlled Study.,True,True,REUSE,canonical document와 title/doi/url 동일
pubmed_abstract,PMID:40682377,40682377,Clinical Efficacy of a Salicylic Acid-Containing Gel on Acne Management and Skin Barrier Function: A 21-Day Prospective Study.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:40970768,40970768,Comparative Efficacy of 35 % Glycolic Acid Peel versus 4 % Retinol Peel in Melasma.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:41134387,41134387,"Efficacy and safety of combination cream of stimu-tex AS™ (spent grain wax, Argania Spinosa Kernel oil, Butyrospermum Parkii (shea butter) extract), and saccharide isomerate after fractional CO2 laser procedure: split-face, double blinded, randomized controlled trial.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:41211697,41211697,A novel facial moisturizer containing Saccharide isomerate accelerates skin barrier restoration following intense pulsed light treatment: a randomized split-face study.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:42324157,42324157,Exploratory study on the effect of ferulic acid derived from rice bran on dull skin.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:42696337,42696337,"A Novel Moisturizer Formulated With Micronized Centella asiatica and Mandelic Acid Improves Mature, Crepey Skin.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:8033544,8033544,Effect of surfactant mixtures on irritant contact dermatitis potential in man: sodium lauroyl glutamate and sodium lauryl sulphate.,True,False,INSERT,canonical에 없는 신규 PubMed document
cir,cir_attachment:78339067-953f-de05-9d46-508a63ceca4c,cir_attachment:78339067-953f-de05-9d46-508a63ceca4c,Retinol and Retinyl Palmitate,True,False,INSERT,"신규 CIR document, canonical 10건과 겹치지 않음"
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",True,False,INSERT,"신규 CIR document, canonical 10건과 겹치지 않음"
cir,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,Amended Safety Assessment of Salicylic Acid and Salicylates as Used in Cosmetics,True,False,INSERT,"신규 CIR document, canonical 10건과 겹치지 않음"
cir,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba,Safety Assessment of Adenosine as Used in Cosmetics,True,False,INSERT,"신규 CIR document, canonical 10건과 겹치지 않음"
cir,cir_attachment:995efb2f-f539-86e3-8575-19bea03f915e,cir_attachment:995efb2f-f539-86e3-8575-19bea03f915e,Safety Assessment of Capryloyl Salicylic Acid as Used in Cosmetics,True,False,INSERT,"신규 CIR document, canonical 10건과 겹치지 않음"
pubmed_abstract,PMID:10971324,10971324,Nicotinamide increases biosynthesis of ceramides as well as other stratum corneum lipids to improve the epidermal permeability barrier,False,True,RE_REVIEW,"Decision 2 lineage 확정(NOT_REVIEWED, automatic_candidate_screening): Cholesterol: non_clinical_study_design; Sphingolipids: non_clinical_study_design | NOTE: title이 'Nicotinamide increases biosynthesis of ceramides...'로 실제로는 Niacinamide 관련 논문으로 보인다. pipeline은 이 PMID를 Cholesterol/Sphingolipids 질의로만 수집했고 Niacinamide 질의 결과에는 없어 Niacinamide 기준으로는 한 번도 QA 검토된 적이 없다 — canonical link 자체가 틀렸다는 뜻은 아니고, Niacinamide 근거로서 검토가 안 됐다는 뜻 — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
pubmed_abstract,PMID:11702613,11702613,"A randomized, placebo-controlled trial of topical retinol in the treatment of cellulite.",False,True,DEFER,"Decision 2 lineage 확정(NOT_REVIEWED, automatic_candidate_screening): Retinol: over_budget — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
pubmed_abstract,PMID:17613133,17613133,"Final report on the safety assessment of Glycyrrhetinic Acid, Potassium Glycyrrhetinate, Disodium Succinoyl Glycyrrhetinate, Glyceryl Glycyrrhetinate, Glycyrrhetinyl Stearate, Stearyl Glycyrrhetinate, Glycyrrhizic Acid, Ammonium Glycyrrhizate, Dipotassium Glycyrrhizate, Disodium Glycyrrhizate, Trisodium Glycyrrhizate, Methyl Glycyrrhizate, and Potassium Glycyrrhizinate.",False,True,RE_REVIEW,"Decision 2 lineage 확정(NOT_REVIEWED, automatic_candidate_screening): Ammonium Glycyrrhizate: route_unclear; Dipotassium Glycyrrhizate: route_unclear | NOTE: title이 CIR(Cosmetic Ingredient Review) 공식 safety assessment 보고서 제목과 동일하다 (PubMed에 색인된 CIR 보고서 항목일 가능성 - 1차 임상/연구 논문이 아닐 수 있음, 확인 필요) — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
pubmed_abstract,PMID:21822427,21822427,"A Double-Blind, Randomized Clinical Trial of Niacinamide 4% versus Hydroquinone 4% in the Treatment of Melasma",False,True,RE_REVIEW,"Decision 2 lineage 확정(NOT_REVIEWED, not_in_pipeline): pubmed_full.jsonl/pubmed_smoke50.jsonl 어디에도 없음 - canonical DB에 이 PMID가 어떻게 적재됐는지 출처 불명 — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
pubmed_abstract,PMID:21982351,21982351,Skin moisturizing effects of panthenol-based formulations.,False,True,RE_REVIEW,"Decision 2 lineage 확정(NOT_REVIEWED, automatic_candidate_screening): Panthenol: route_unclear — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
pubmed_abstract,PMID:27324942,27324942,Physiochemical properties and application of hyaluronic acid: a systematic review.,False,True,RE_REVIEW,"Decision 2 lineage 확정(UNCERTAIN, human_qa_review): Hyaluronic Acid: 다양한 의학적 HA 적용을 포괄한 systematic review라 topical skincare 근거만 분리됐는지 불명확 — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
pubmed_abstract,PMID:29947134,29947134,"Prospective, randomized, double-blind assessment of topical bakuchiol and retinol for facial photoageing.",False,True,DEFER,"Decision 2 lineage 확정(NOT_REVIEWED, automatic_candidate_screening): Bakuchiol: over_budget; Retinol: over_budget — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
pubmed_abstract,PMID:34348350,34348350,A Lipid Mixture Enriched by Ceramide NP with Fatty Acids of Diverse Chain Lengths Contributes to Restore the Skin Barrier Function Impaired by Topical Corticosteroid.,False,True,RE_REVIEW,"Decision 2 lineage 확정(NOT_REVIEWED, automatic_candidate_screening): Ceramide NP: non_clinical_study_design — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
pubmed_abstract,PMID:38618759,38618759,Supramolecular salicylic acid combined with niacinamide in chloasma: a randomized controlled trial.,False,True,DEFER,"Decision 2 lineage 확정(NOT_REVIEWED, automatic_candidate_screening): Niacinamide: over_budget — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
pubmed_abstract,PMID:38843906,38843906,Tranexamic acid as a therapeutic option for melasma management: meta-analysis and systematic review of randomized controlled trials.,False,True,RE_REVIEW,"Decision 2 lineage 확정(NOT_REVIEWED, automatic_candidate_screening): Tranexamic Acid: route_unclear — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
pubmed_abstract,PMID:40177799,40177799,Efficacy and Safety of Topical Compound Heparin Sodium Allantoin Gel (Main Components: Onion Extract Quercetin) for the Treatment of Rosacea.,False,True,RE_REVIEW,"Decision 2 lineage 확정(UNCERTAIN, human_qa_review): Allantoin: compound heparin sodium allantoin gel 연구라 Allantoin 단독 효과로 분리하기 어려움; Quercetin: compound heparin/allantoin/onion extract 제형에서 Quercetin 단독 효과 분리가 어려움 — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
pubmed_abstract,PMID:40682399,40682399,"The Effectiveness and Safety of a Skin Care Product With Centella asiatica Leaf Extract, Ceramide NP, and Panthenol in Subjects With Sensitive Skin: A Prospective, Observational Study.",False,True,RE_REVIEW,"Decision 2 lineage 확정(NOT_REVIEWED, automatic_candidate_screening): Ceramide NP: non_clinical_study_design; Panthenol: non_clinical_study_design — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
pubmed_abstract,PMID:40826371,40826371,Microneedling-assisted delivery of metformin versus tranexamic acid in treating melasma: a randomized controlled study.,False,True,RE_REVIEW,"Decision 2 lineage 확정(NOT_REVIEWED, automatic_candidate_screening): Tranexamic Acid: comparator_only — 상세는 evidence_db_load_plan_pubmed_13_lineage.csv 참고. REMOVE 아님, DB mutation 없이 계획 단계로만 반영"
