source_type,document_source_id,chunk_id,action,note,embedding_action
pubmed_abstract,PMID:39162834,PMID:39162834:abstract:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
pubmed_abstract,PMID:39555866,PMID:39555866:abstract:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
pubmed_abstract,PMID:39968706,PMID:39968706:abstract:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
pubmed_abstract,PMID:40111222,PMID:40111222:abstract:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
pubmed_abstract,PMID:40586182,PMID:40586182:abstract:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
pubmed_abstract,PMID:40613435,PMID:40613435:abstract:0,REUSE,canonical chunk와 content_hash 동일,NONE
pubmed_abstract,PMID:40682377,PMID:40682377:abstract:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
pubmed_abstract,PMID:40970768,PMID:40970768:abstract:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
pubmed_abstract,PMID:41134387,PMID:41134387:abstract:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
pubmed_abstract,PMID:41211697,PMID:41211697:abstract:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
pubmed_abstract,PMID:42324157,PMID:42324157:abstract:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
pubmed_abstract,PMID:42696337,PMID:42696337:abstract:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
pubmed_abstract,PMID:8033544,PMID:8033544:abstract:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:78339067-953f-de05-9d46-508a63ceca4c,cir_attachment:78339067-953f-de05-9d46-508a63ceca4c:40:Conclusion:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:78339067-953f-de05-9d46-508a63ceca4c,cir_attachment:78339067-953f-de05-9d46-508a63ceca4c:40:Discussion:1,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:44:CLINICAL ASSESSMENT OF SAFETY:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:45:CLINICAL ASSESSMENT OF SAFETY:1,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:45:CLINICAL ASSESSMENT OF SAFETY:2,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:45:CLINICAL ASSESSMENT OF SAFETY:3,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:46:CLINICAL ASSESSMENT OF SAFETY:4,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:46:CLINICAL ASSESSMENT OF SAFETY:5,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:47:CLINICAL ASSESSMENT OF SAFETY:6,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:47:CLINICAL ASSESSMENT OF SAFETY:7,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:48:CLINICAL ASSESSMENT OF SAFETY:8,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:48:CLINICAL ASSESSMENT OF SAFETY:9,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:49:CLINICAL ASSESSMENT OF SAFETY:10,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:49:CLINICAL ASSESSMENT OF SAFETY:11,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:50:CLINICAL ASSESSMENT OF SAFETY:12,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:50:CLINICAL ASSESSMENT OF SAFETY:13,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:51:CLINICAL ASSESSMENT OF SAFETY:14,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:51:CLINICAL ASSESSMENT OF SAFETY:15,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:52:CLINICAL ASSESSMENT OF SAFETY:16,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:54:DISCUSSION:17,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6,cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:54:CONCLUSION:18,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:42:Clinical Studies:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:42:Clinical Studies:1,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:43:Clinical Studies:2,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:43:Clinical Studies:3,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:44:Clinical Studies:4,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:48:Discussion:5,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:49:Discussion:6,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:49:Discussion:7,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:49:Conclusion:8,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:50:Conclusion:9,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:10:Clinical Studies:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:10:Clinical Studies:1,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:11:Clinical Studies:2,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:12:Discussion:3,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:12:Discussion:4,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:12:Conclusion:5,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:13:Conclusion:6,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:995efb2f-f539-86e3-8575-19bea03f915e,cir_attachment:995efb2f-f539-86e3-8575-19bea03f915e:13:Clinical Studies:0,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:995efb2f-f539-86e3-8575-19bea03f915e,cir_attachment:995efb2f-f539-86e3-8575-19bea03f915e:14:Clinical Studies:1,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
cir,cir_attachment:995efb2f-f539-86e3-8575-19bea03f915e,cir_attachment:995efb2f-f539-86e3-8575-19bea03f915e:16:Conclusion:2,INSERT,canonical에 없는 신규 chunk,EMBED_NEW
